speakers,durations,topics,views,descriptions,tags,lengths
Alex Rosenthal,335,When is a pandemic over,3892317,Consider the following scenario a highly infectious sometimes deadly respiratory virus infects humans for the first time It spreads rapidly worldwide and the WHO declares a pandemic The death toll starts to rise and everyone is asking the same question when will the pandemic end Alex Rosenthal details the three main strategies governments can use to contain and end a pandemic Directed by Visorama narrated by Jack CutmoreScott music by Bamm Bamm Wolfgang,|education|animation|disease|illness|pandemic|coronavirus|government|public health|Vaccines|health|history|science|biology,0:05:35
Marily Oppezzo,325,Want to be more creative Go for a walk,3886191,When trying to come up with a new idea we all have times when we get stuck But according to research by behavioral and learning scientist Marily Oppezzo getting up and going for a walk might be all it takes to get your creative juices flowing In this fun fast talk she explains how walking could help you get the most out of your next brainstorm,|creativity|human body|communication|innovation|personal growth|science|exercise,0:05:25
Bettina Warburg,897,How the blockchain will radically transform the economy,3885619,Say hello to the decentralized economy  the blockchain is about to change everything In this lucid explainer of the complex and confusing technology Bettina Warburg describes how the blockchain will eliminate the need for centralized institutions like banks or governments to facilitate trade evolving ageold models of commerce and finance into something far more interesting a distributed transparent autonomous system for exchanging value,Internet|business|computers|data|collaboration|privacy|security|future|economics|society|software|trust|innovation|technology|blockchain|wikipedia|cryptocurrency,0:14:57
Tim Ferriss,985,Smash fear learn anything,3877366,From the EG conference Productivity guru Tim Ferriss fun encouraging anecdotes show how one simple question  Whats the worst that could happen  is all you need to learn to do anything,dance|fear|language|life|productivity|work|Best of the Web,0:16:25
Marc Kushner,1085,Why the buildings of the future will be shaped by  you,3877106,Architecture is not about math or zoning  its about visceral emotions says Marc Kushner In a sweeping  often funny  talk he zooms through the past thirty years of architecture to show how the public once disconnected have become an essential part of the design process With the help of social media feedback reaches architects years before a building is even created The result Architecture that will do more for us than ever before,TED Books|architecture|design|social media,0:18:05
Jonathan Haidt,1122,The moral roots of liberals and conservatives,3874818,Psychologist Jonathan Haidt studies the five moral values that form the basis of our political choices whether were left right or center In this eyeopening talk he pinpoints the moral values that liberals and conservatives tend to honor most,brain|culture|evolution|global issues|morality|politics|psychology|evolutionary psychology,0:18:42
Hamdi Ulukaya,1037,The antiCEO playbook,3859725,Profit money shareholders these are the priorities of most companies today But at what cost In an appeal to corporate leaders worldwide Chobani founder Hamdi Ulukaya calls for an end to the business playbook of the past  and shares his vision for a new antiCEO playbook that prioritizes people over profits This is the difference between profit and true wealth he says,business|society|leadership|economics|work|social change,0:17:17
Kamal Meattle,244,How to grow fresh air,3855576,Researcher Kamal Meattle shows how an arrangement of three common houseplants used in specific spots in a home or office building can result in measurably cleaner indoor air,architecture|cities|environment|garden|science|technology|plants,0:04:04
Dan Dennett,1485,Lets teach religion  all religion  in schools,3850957,Philosopher Dan Dennett calls for religion  all religion  to be taught in schools so we can understand its nature as a natural phenomenon Then he takes on The PurposeDriven Life disputing its claim that to be moral one must deny evolution,God|atheism|brain|cognitive science|consciousness|evolution|philosophy|religion,0:24:45
Tom Griffiths,707,3 ways to make better decisions  by thinking like a computer,3846402,If you ever struggle to make decisions heres a talk for you Cognitive scientist Tom Griffiths shows how we can apply the logic of computers to untangle tricky human problems sharing three practical strategies for making better decisions  on everything from finding a home to choosing which restaurant to go to tonight,computers|cognitive science|decision-making|choice||technology|algorithm|brain|psychology,0:11:47
Kate Raworth,953,A healthy economy should be designed to thrive not grow,3841373,What would a sustainable universally beneficial economy look like Like a doughnut says Oxford economist Kate Raworth In a stellar eyeopening talk she explains how we can move countries out of the hole  where people are falling short on lifes essentials  and create regenerative distributive economies that work within the planets ecological limits,economics|climate change|infrastructure|future|sustainability|society|social change|history|biosphere|nature|natural resources|community|global issues|pollution,0:15:53
Hans Rosling,1137,New insights on poverty,3837786,Researcher Hans Rosling uses his cool data tools to show how countries are pulling themselves out of poverty He demos Dollar Street comparing households of varying income levels worldwide Then he does something really amazing,Africa|Asia|Google|economics|global issues|health|inequality|statistics|visualizations|global development|poverty,0:18:57
KaiFu Lee,889,How AI can save our humanity,3837322,AI is massively transforming our world but theres one thing it cannot do love In a visionary talk computer scientist KaiFu Lee details how the US and China are driving a deep learning revolution  and shares a blueprint for how humans can thrive in the age of AI by harnessing compassion and creativity AI is serendipity Lee says It is here to liberate us from routine jobs and it is here to remind us what it is that makes us human,AI|media|future|invention|innovation|technology|machine learning|society|computers|intelligence,0:14:49
Simone Giertz,717,Why you should make useless things,3833494,In this joyful heartfelt talk featuring demos of her wonderfully wacky creations Simone Giertz shares her craft making useless robots Her inventions  designed to chop vegetables cut hair apply lipstick and more  rarely if ever succeed and thats the point The true beauty of making useless things is this acknowledgment that you dont always know what the best answer is Giertz says It turns off that voice in your head that tells you that you know exactly how the world works Maybe a toothbrush helmet isnt the answer but at least youre asking the question,creativity|demo|personal growth|design|funny|robots|technology,0:11:57
Shunan Teng,224,The Chinese myth of the immortal white snake,3819364,The talented herbalist Xu Xian had just started his own medicine shop where he created remedies with the help of his wife Bai Su Zhen One day a monk named Fa Hai approached him warning him that there was a demon in his house The demon he said was Bai Su Zhen Xu Xian laughed How could his kindhearted wife be a demon Shunan Teng traces the tale of the immortal white snake Directed by Kino Bino narrated by PenPen Chen music by Gav Cantrell,animation||animals|china|culture|history|world cultures,0:03:44
Dr Natascha M Santos,276,Debunking the myths of OCD,3813883,Theres a common misconception that if you like to meticulously organize your things keep your hands clean or plan out your weekend to the last detail you might be OCD In fact OCD Obsessive Compulsive Disorder is a serious psychiatric condition that is frequently misunderstood by society and mental health professionals alike Natascha M Santos debunks the myths surrounding OCD Directed by Zedem Media narrated by Addison Anderson,health|personality|psychology||mental health|health care|animation|healthcare|medicine|public health|disability|disease|decision-making|brain,0:04:36
Yeonmi Park,648,What I learned about freedom after escaping North Korea,3804868,North Korea is unimaginable says human rights activist Yeonmi Park who escaped the country at the age of 13 Sharing the harrowing story of her childhood she reflects on the fragility of freedom  and shows how change can be achieved even in the worlds darkest places,human rights|humanity|social change|Asia|activism,0:10:48
Sabine Doebel,555,How your brains executive function works  and how to improve it,3789731,You use your brains executive function every day  its how you do things like pay attention plan ahead and control impulses Can you improve it to change for the better With highlights from her research on child development cognitive scientist Sabine Doebel explores the factors that affect executive function  and how you can use it to break bad habits and achieve your goals,brain|cognitive science|children|neuroscience||motivation|science,0:09:15
Alex Kipman,1145,A futuristic vision of the age of holograms,3786170,Explore a speculative digital world without screens in this fanciful demo a mix of near reality and farfuture possibility Wearing the HoloLens headset Alex Kipman demos his vision for bringing 3D holograms into the real world enhancing our perceptions so that we can touch and feel digital content Featuring QampA with TEDs Helen Walters,communication|computers|engineering|creativity|design|exploration|innovation|interface design|microsoft|invention|potential|NASA|product design|prediction|visualizations|technology|future,0:19:05
Derek Sivers,162,Weird or just different,3783894,Theres a flip side to everything the saying goes and in 2 minutes Derek Sivers shows this is true in a few ways you might not expect,business|creativity|map|india,0:02:42
Joe Smith,271,How to use a paper towel,3783351,You use paper towels to dry your hands every day but chances are youre doing it wrong In this enlightening and funny short talk Joe Smith reveals the trick to perfect paper towel technique,|entertainment|green|hack|humor|materials|simplicity,0:04:31
Yves Morieux,721,As work gets more complex 6 rules to simplify,3778768,Why do people feel so miserable and disengaged at work Because todays businesses are increasingly and dizzyingly complex  and traditional pillars of management are obsolete says Yves Morieux So he says it falls to individual employees to navigate the rabbits warren of interdependencies In this energetic talk Morieux offers six rules for smart simplicity Rule one Understand what your colleagues actually do,business|leadership|productivity|work,0:12:01
Emma Bryce,232,What really happens to the plastic you throw away,3777509,Weve all been told that we should recycle plastic bottles and containers But what actually happens to the plastic if we just throw it away Emma Bryce traces the life cycles of three different plastic bottles shedding light on the dangers these disposables present to our world Directed by Sharon Colman narrated by Addison Anderson music by Peter Gosling,|plastic|environment|green|global issues|animation|climate change|natural resources|water|nature|science|oceans|sustainability,0:03:52
Joachim de Posada,358,Dont eat the marshmallow,3774374,In this short talk from TED U Joachim de Posada shares a landmark experiment on delayed gratification  and how it can predict future success With priceless video of kids trying their hardest not to eat the marshmallow,children|culture|humor|psychology,0:05:58
Julia Sweeney,316,Its time for The Talk,3767746,Despite her best efforts comedian Julia Sweeney is forced to tell a little white lie when her 8yearold begins learning about frog reproduction  and starts to ask some very smart questions,children|comedy|humor|sex,0:05:16
Rbecca Kleinberger,762,Why you dont like the sound of your own voice,3765081,Your voice is indistinguishable from how other people see you but your relationship with it is far from obvious Rbecca Kleinberger studies how we use and understand our voices and the voices of others She explains why you may not like the sound of your own voice on recordings the differences between your outward inward and inner voices  and the extraordinary things you communicate without being aware of it,hearing||sound|human body|humanity|science|self|speech|vocals,0:12:42
Elizabeth Dunn,869,Helping others makes us happier  but it matters how we do it,3753105,Research shows that helping others makes us happier But in her groundbreaking work on generosity and joy social psychologist Elizabeth Dunn found that theres a catch it matters how we help Learn how we can make a greater impact  and boost our own happiness along the way  if we make one key shift in how we help others Lets stop thinking about giving as just this moral obligation and start thinking of it as a source of pleasure Dunn says,community|happiness|society|psychology|social change|humanity|science,0:14:29
Itay Talgam,1251,Lead like the great conductors,3734395,An orchestra conductor faces the ultimate leadership challenge creating perfect harmony without saying a word In this charming talk Itay Talgam demonstrates the unique styles of six great 20thcentury conductors illustrating crucial lessons for all leaders,business|conducting|leadership|music|psychology|society,0:20:51
Ray Dalio,993,How to build a company where the best ideas win,3727539,What if you knew what your coworkers really thought about you and what they were really like Ray Dalio makes the business case for using radical transparency and algorithmic decisionmaking to create an idea meritocracy where people can speak up and say what they really think  even calling out the boss is fair game Learn more about how these strategies helped Dalio create one of the worlds most successful hedge funds and how you might harness the power of datadriven group decisionmaking,algorithm|collaboration|business|decision-making|communication|investment|innovation|leadership|personal growth|technology|work,0:16:33
Sheena Iyengar,1448,The art of choosing,3719355,Sheena Iyengar studies how we make choices  and how we feel about the choices we make At TEDGlobal she talks about both trivial choices Coke v Pepsi and profound ones and shares her groundbreaking research that has uncovered some surprising attitudes about our decisions,business|choice|culture|decision-making|economics|psychology|social change|society,0:24:08
Randall Munroe,569,Comics that ask what if,3708061,Web cartoonist Randall Munroe answers simple whatif questions what if you hit a baseball moving at the speed of light using math physics logic and deadpan humor In this charming talk a readers question about Googles data warehouse leads Munroe down a circuitous path to a hilariously overdetailed answer  in which shhh you might actually learn something,art|humor|math|physics|science|science and art|computers|Google|data|comedy,0:09:29
EvaMaria Geigl,260,The history of the world according to cats,3703537,In ancient times wildcats were fierce carnivorous hunters And unlike dogs who have undergone centuries of selective breeding modern cats are genetically very similar to ancient cats How did these solitary fierce predators become our sofa sidekicks EvaMaria Geigl traces the domestication of the modern house cat Directed by Chintis Lundgren narrated by Bethany CutmoreScott music by Drako Ivezi ,|animation|history|animals,0:04:20
Isabel Allende,496,How to live passionatelyno matter your age,3701889,Author Isabel Allende is 71 Yes she has a few wrinklesbut she has incredible perspective too In this candid talk meant for viewers of all ages she talks about her fears as she gets older and shares how she plans to keep on living passionately,aging|storytelling,0:08:16
Taylor Wilson,212,Yup I built a nuclear fusion reactor,3700619,Taylor Wilson believes nuclear fusion is a solution to our future energy needs and that kids can change the world And he knows something about both of those When he was 14 he built a working fusion reactor in his parents garage Now 17 he takes the TED stage at short notice to tell the short version of his story,energy|science|technology|youth|nuclear energy|physics|alternative energy|invention|innovation|chemistry|future,0:03:32
Eleanor Nelsen,247,Why do your knuckles pop,3696069,Some people love the feeling of cracking their knuckles while others cringe at the sound But what causes that trademark pop And is it dangerous Eleanor Nelsen gives the facts behind joint popping Directed by Steve Belfer Creative narrated by Addison Anderson ,health|human body|public health|animation||physiology,0:04:07
Lidia Yuknavitch,778,The beauty of being a misfit,3695478,To those who feel like they dont belong there is beauty in being a misfit Author Lidia Yuknavitch shares her own wayward journey in an intimate recollection of patchwork stories about loss shame and the slow process of selfacceptance Even at the moment of your failure you are beautiful she says You dont know it yet but you have the ability to reinvent yourself endlessly Thats your beauty,failure|creativity|books|beauty|identity|humanity|personal growth|self|writing|TED Books,0:12:58
Eduardo Briceo,682,How to get better at the things you care about,3682159,Working hard but not improving Youre not alone Eduardo Briceo reveals a simple way to think about getting better at the things you do whether thats work parenting or creative hobbies And he shares some useful techniques so you can keep learning and always feel like youre moving forward,education|intelligence|goal-setting|mindfulness|performance|motivation|personal growth|self||teaching|work-life balance|psychology,0:11:22
Patricia Kuhl,617,The linguistic genius of babies,3677366,Patricia Kuhl shares astonishing findings about how babies learn one language over another  by listening to the humans around them and taking statistics on the sounds they need to know Clever lab experiments and brain scans show how 6monthold babies use sophisticated reasoning to understand their world,|brain|children|language|science|technology,0:10:17
Randall Hayes,318,At what moment are you dead,3674163,For as far back as we can trace our existence humans have been fascinated with death and resurrection But is resurrection really possible And what is the actual difference between a living creature and a dead body anyway Randall Hayes delves into the scientific theories that seek to answer these ageold questions Directed by Anton Bogaty narrated by Addison Anderson,anthropology|health|philosophy|religion|death|life|animation||human body|science,0:05:18
Damion Searls,286,How does the Rorschach inkblot test work,3674069,For nearly a century ten inkblots have been used as an almost mystical personality test Long kept confidential for psychologists and their patients the mysterious images were said to draw out the workings of a persons mind But what can inkblots really tell us and how does this test work Damion Searls details how the Rorschach Test can help us understand the patterns of our perceptions Directed by Kozmonot Animation Studio narrated by Addison Anderson music by Deniz Dogancay,animation|psychology||mental health|brain|human body|physiology,0:04:46
Marta Peirano,573,The surveillance device you carry around all day,3671032,Why would anyone be watching me Im nobody If this is your contribution to conversations about mass surveillance tech journalist Marta Peirano would like a word with you Wielding cautionary tales about contemporary data collection that make the Stasi seem quaint Peirano explains how the data that our phones and algorithms automatically collect about us is ripe for misuse and exploitation by the next authoritarian regime In Spanish with English subtitles,privacy|data|technology|surveillance|telecom,0:09:33
Paul Piff,995,Does money make you mean,3669123,Its amazing what a rigged game of Monopoly can reveal In this entertaining but sobering talk social psychologist Paul Piff shares his research into how people behave when they feel wealthy Hint badly But while the problem of inequality is a complex and daunting challenge theres good news too,|behavioral economics|psychology,0:16:35
Katharine Hayhoe,1031,The most important thing you can do to fight climate change talk about it,3661300,How do you talk to someone who doesnt believe in climate change Not by rehashing the same data and facts weve been discussing for years says climate scientist Katharine Hayhoe In this inspiring pragmatic talk Hayhoe shows how the key to having a real discussion is to connect over shared values like family community and religion  and to prompt people to realize that they already care about a changing climate We cant give in to despair she says We have to go out and look for the hope we need to inspire us to act  and that hope begins with a conversation today,climate change|environment|science|communication|global issues|nature|Anthropocene|social change|sustainability|society|pollution|weather,0:17:11
Dan Ariely,983,Our buggy moral code,3660025,Behavioral economist Dan Ariely studies the bugs in our moral code the hidden reasons we think its OK to cheat or steal sometimes Clever studies help make his point that were predictably irrational  and can be influenced in ways we cant grasp,brain|culture|economics|evil|motivation|psychology|science|self|society,0:16:23
Helen M Farrell,352,What is bipolar disorder,3658585,The word bipolar means two extremes For the many millions experiencing bipolar disorder around the world life is split between two different realities elation and depression So what causes this disorder And can it be treated Helen M Farrell describes the root causes and treatments for bipolar disorder ,|mental health|medical research|brain|depression,0:05:52
Alex Gendler,306,History vs Napoleon Bonaparte,3658444,After the French Revolution erupted in 1789 Europe was thrown into chaos Neighboring countries monarchs feared they would share the fate of Louis XVI and attacked the new Republic while at home extremism and mistrust between factions led to bloodshed In the midst of all this conflict Napoleon emerged But did he save the revolution or destroy it Alex Gendler puts Napoleon on trial Directed by Brett Underhill narrated by Addison Anderson,history|war||animation|world cultures|culture|Europe,0:05:06
Ray Kurzweil,592,Get ready for hybrid thinking,3648530,Two hundred million years ago our mammal ancestors developed a new brain feature the neocortex This stampsized piece of tissue wrapped around a brain the size of a walnut is the key to what humanity has become Now futurist Ray Kurzweil suggests we should get ready for the next big leap in brain power as we tap into the computing power in the cloud,AI|brain|cloud|evolution|future|technology,0:09:52
Alexander Betts,1042,Why Brexit happened  and what to do next,3643460,We are embarrassingly unaware of how divided our societies are and Brexit grew out of a deep unexamined divide between those that fear globalization and those that embrace it says social scientist Alexander Betts How do we now address that fear as well as growing disillusionment with the political establishment while refusing to give in to xenophobia and nationalism Join Betts as he discusses four postBrexit steps toward a more inclusive world,global issues|global development|big problems|choice|collaboration|communication|community|democracy|future|government|history|humanity|identity|immigration|inequality|Europe|news|policy|politics|refugees|social change|society,0:17:22
Kimberl Crenshaw,1129,The urgency of intersectionality,3638529,Now more than ever its important to look boldly at the reality of race and gender bias  and understand how the two can combine to create even more harm Kimberl Crenshaw uses the term intersectionality to describe this phenomenon as she says if youre standing in the path of multiple forms of exclusion youre likely to get hit by both In this moving talk she calls on us to bear witness to this reality and speak up for victims of prejudice,activism|gender|inequality|social change|community|humanity|society|violence|identity|race|women,0:18:49
Dan Dennett,465,Cute sexy sweet funny,3623750,Why are babies cute Why is cake sweet Philosopher Dan Dennett has answers you wouldnt expect as he shares evolutions counterintuitive reasoning on cute sweet and sexy things plus a new theory from Matthew Hurley on why jokes are funny,animals|biology|children|comedy|evolution|food|humanity|humor|primates|sex,0:07:45
Juan Enriquez,1130,The next species of human,3621530,While the megabanks were toppling in early 2009 Juan Enriquez took the stage to say The really big reboot is yet to come But dont look for it on the stock exchange or the political ballot Itll come from science labs and it promises keener bodies and minds Our kids are going to be  different,biology|business|economics|robots|science|technology,0:18:50
Claire Bowern,278,Where did English come from,3616456,When we talk about English we often think of it as a single language But what do the dialects spoken in dozens of countries around the world have in common with each other or with the writings of Chaucer Claire Bowern traces the language from the present day back to its ancient roots showing how English has evolved through generations of speakers Directed by Patrick Smith narrated by Addison Anderson,anthropology|history|literature|language|culture|writing|world cultures|animation||ancient world,0:04:38
Conor Heffernan,235,The treadmills dark and twisted past,3597029,The constant thud underneath your feet The constrained space The monotony of going nowhere fast Running on a treadmill can certainly feel like torture but did you know it was originally used for that very purpose Conor Heffernan details the dark and twisted history of the treadmill Directed by Yukai Du narrated by Addison Anderson music by WORKPLAYWORK and Cem Misirlioglu,|human body|history|pain|society|exercise|physiology|animation|health|invention|innovation,0:03:55
Janja Lalich,366,Why do people join cults,3588205,Today there are thousands of cults around the world Broadly speaking a cult is a group or movement with a shared commitment to a usually extreme ideology thats typically embodied in a charismatic leader But what exactly differentiates cults from other groups  and why do people join them Janja Lalich describes how cults recruit and manipulate their members Directed by Globizco narrated by Addison Anderson music by Manuel Borda,anthropology|health|history|psychology|public health|religion||animation|mental health|culture,0:06:06
Christen Reighter,876,I dont want children  stop telling me Ill change my mind,3587713,One in five women in the United States will not have a biological child and Christen Reighter is one of them From a young age she knew she didnt want kids in spite of the insistence of many people including her doctor who told her shed change her mind In this powerful talk she shares her story of seeking sterilization  and makes the case that motherhood is an extension of womanhood not the definition,|children|family|parenting|identity|women|social change|society,0:14:36
Margaret Heffernan,947,Forget the pecking order at work,3579369,Organizations are often run according to the superchicken model where the value is placed on star employees who outperform others And yet this isnt what drives the most highachieving teams Business leader Margaret Heffernan observes that it is social cohesion  built every coffee break every time one team member asks another for help  that leads over time to great results Its a radical rethink of what drives us to do our best work and what it means to be a leader Because as Heffernan points out Companies dont have ideas Only people do,TED Books|business|leadership|life|work,0:15:47
His Holiness Pope Francis,1072,Why the only future worth building includes everyone,3577786,A single individual is enough for hope to exist and that individual can be you says His Holiness Pope Francis in this searing TED Talk delivered directly from Vatican City In a hopeful message to people of all faiths to those who have power as well as those who dont the spiritual leader provides illuminating commentary on the world as we currently find it and calls for equality solidarity and tenderness to prevail Let us help each other all together to remember that the other is not a statistic or a number he says We all need each other,children|climate change|Christianity|communication|collaboration|community|compassion|faith|future|humanity|global issues|identity|inequality|love|morality|peace|refugees|religion|social change|technology|society,0:17:52
Atul Gawande,1018,Want to get great at something Get a coach,3570242,How do we improve in the face of complexity Atul Gawande has studied this question with a surgeons precision He shares what hes found to be the key having a good coach to provide a more accurate picture of our reality to instill positive habits of thinking and to break our actions down and then help us build them back up again Its not how good you are now its how good youre going to be that really matters Gawande says,life|goal-setting|collaboration|potential|personal growth|teaching|science|Surgery,0:16:58
Al Gore,977,Averting the climate crisis,3561530,With the same humor and humanity he exuded in An Inconvenient Truth Al Gore spells out 15 ways that individuals can address climate change immediately from buying a hybrid to inventing a new hotter brand name for global warming,alternative energy|cars|climate change|culture|environment|global issues|science|sustainability|technology,0:16:17
Dan Ariely,913, How to change your behavior for the better,3561509,Whats the best way to get people to change their behavior In this funny informationpacked talk psychologist Dan Ariely explores why we make bad decisions even when we know we shouldnt  and discusses a couple tricks that could get us to do the right thing even if its for the wrong reason,decision-making|behavioral economics|cognitive science|economics|motivation|humanity|psychology|self,0:15:13
Sugata Mitra,1351,Build a School in the Cloud,3550868,Onstage at TED2013 Sugata Mitra makes his bold TED Prize wish Help me design the School in the Cloud a learning lab in India where children can explore and learn from each other  using resources and mentoring from the cloud Hear his inspiring vision for Self Organized Learning Environments,TED Prize|technology|code|education,0:22:31
Alanna Shaikh,979,Why COVID19 is hitting us now  and how to prepare for the next outbreak,3550219,Update the CDC and international science community urge everyone to wear face coverings in public Where did the new coronavirus originate how did it spread so fast  and whats next Sharing insights from the outbreak global health expert and TED Fellow Alanna Shaikh traces the spread of COVID19 discusses why travel restrictions arent effective and highlights the medical changes needed worldwide to prepare for the next pandemic We need to make sure that every country in the world has the capacity to identify new diseases and treat them she says Recorded March 5 2020,pandemic|virus|health|illness|health care||global issues||coronavirus,0:16:19
Jonny Sun,636,You are not alone in your loneliness,3538746,Being open and vulnerable with your loneliness sadness and fear can help you find comfort and feel less alone says writer and artist Jonny Sun In an honest talk filled with his signature illustrations Sun shares how telling stories about feeling like an outsider helped him tap into an unexpected community and find a tiny sliver of light in the darkness,creativity|compassion|personal growth|writing|empathy|visualizations|art|humanity|community|relationships,0:10:36
Dolores Huerta,807,How to overcome apathy and find your power,3536273,S se puede  Yes we can Its the rallying cry Dolores Huerta came up with as a young activist in the 1970s and shes lived by it in her tireless pursuit of civil rights ever since With her signature wit and humor Huerta reflects on her lifes work offering inspiration for anybody trying to overcome apathy get involved and find their own power,history|inequality|activism|policy|social change|democracy|protests|politics|society|peace,0:13:27
Richard J Wood,295,How do carbohydrates impact your health,3536283,The things we eat and drink on a daily basis can impact our health in big ways Too many carbohydrates for instance can lead to insulin resistance which is a major contributor to cardiovascular disease and Type 2 Diabetes But what are carbs exactly And what do they do to our bodies Richard J Wood explains Directed by Qaed Mai narrated by Addison Anderson,health|health care|public health|healthcare|food|exercise|physiology|human body|animation|biology|disease||disability|obesity,0:04:55
Stefan Sagmeister,1060,The power of time off,3532613,Every seven years designer Stefan Sagmeister closes his New York studio for a yearlong sabbatical to rejuvenate and refresh their creative outlook He explains the often overlooked value of time off and shows the innovative projects inspired by his time in Bali,adventure|art|creativity|design|happiness|innovation|work,0:17:40
Sue Jaye Johnson,439,What we dont teach kids about sex,3529967,As parents its our job to teach our kids about sex But beyond the talk which covers biology and reproduction theres so much more we can say about the human experience of being in our bodies Introducing The Talk 20 Sue Jaye Johnson shows us how we can teach our children to tune in to their sensations and provide them with the language to communicate their desires and emotions  without shutting down or numbing out,TED Residency|sex|children|parenting|human body|teaching|humanity,0:07:19
Carol Fishman Cohen,721,How to get back to work after a career break,3525898,If youve taken a career break and are now looking to return to the workforce would you consider taking an internship Career reentry expert Carol Fishman Cohen thinks you should In this talk hear about Cohens own experience returning to work after a career break her work championing the success of relaunchers and how employers are changing how they engage with returntowork talent,business|economics|culture|personal growth|success||work|work-life balance,0:12:01
Vern Myers,1069,How to overcome our biases Walk boldly toward them,3523366,Our biases can be dangerous even deadly  as weve seen in the cases of Michael Brown in Ferguson Missouri and Eric Garner in Staten Island New York Diversity advocate Vern Myers looks closely at some of the subconscious attitudes we hold toward outgroups She makes a plea to all people Acknowledge your biases Then move toward not away from the groups that make you uncomfortable In a funny impassioned important talk she shows us how,|inequality|race|social change|society|diversity,0:17:49
Kenneth Lacovara,949,Hunting for dinosaurs showed me our place in the universe,3519765,What happens when you discover a dinosaur Paleontologist Kenneth Lacovara details his unearthing of Dreadnoughtus  a 77millionyearold sauropod that was as tall as a twostory house and as heavy as a jumbo jet  and considers how amazingly improbable it is that a tiny mammal living in the cracks of the dinosaur world could evolve into a sentient being capable of understanding these magnificent creatures Join him in a celebration of the Earths geological history and contemplate our place in deep time,adventure|ancient world|animals|environment|dinosaurs|geology|exploration|humanity|history|nature|paleontology|science|universe|asteroid|TED Books,0:15:49
Derek Abbott,228,Should you trust unanimous decisions,3510586,Imagine a police lineup where ten witnesses are asked to identify a bank robber they glimpsed fleeing the scene If six of them pick the same person theres a good chance thats the culprit And if all ten do you might think the case is rock solid But sometimes the closer you start to get to total agreement the less reliable the result becomes Derek Abbott explains the paradox of unanimity Directed by Brett Underhill narrated by Addison Anderson,sociology||psychology|history|animation|brain,0:03:48
Geena Rocero,599,Why I must come out,3499077,When fashion model Geena Rocero first saw a photo of herself in a bikini I thought  you have arrived As she reveals thats because she was born with the gender assignment boy In this moving talk Rocero tells the story of becoming who she always knew she was,LGBT|Transgender|activism|beauty|fashion|gender|identity|inequality|gender equality,0:09:59
George BlairWest,673,3 ways to build a happy marriage and avoid divorce,3487320,Choosing to marry and share your life with someone is one of the most important decisions you can make in life But with divorce rates approaching fifty percent in some parts of the world its clear we could use some help picking a partner In an actionable eyeopening talk psychiatrist George BlairWest shares three keys to preventing divorce  and spotting potential problems while youre still dating,|love|humanity|relationships|community|decision-making|personal growth,0:11:13
Margaret Heffernan,952,The human skills we need in an unpredictable world,3482359,The more we rely on technology to make us efficient the fewer skills we have to confront the unexpected says writer and entrepreneur Margaret Heffernan She shares why we need less tech and more messy human skills  imagination humility bravery  to solve problems in business government and life in an unpredictable age We are brave enough to invent things weve never seen before she says We can make any future we choose,government|business|technology|creativity|entrepreneur|future|work|AI|algorithm|innovation|social change|humanity|leadership|society,0:15:52
Eleanor Nelsen,275,Would you sacrifice one person to save five,3479353,Imagine youre watching a runaway trolley barreling down the tracks straight towards five workers You happen to be standing next to a switch that will divert the trolley onto a second track Heres the problem that track has a worker on it too  but just one What do you do Do you sacrifice one person to save five Eleanor Nelsen details the ethical dilemma that is the trolley problem Directed Eoin Duffy narrated by Addison Anderson sound by David Kamp ,|morality|psychology|animation|decision-making,0:04:35
Jack Horner,996,Building a dinosaur from a chicken,3472774,Renowned paleontologist Jack Horner has spent his career trying to reconstruct a dinosaur Hes found fossils with extraordinarily wellpreserved blood vessels and soft tissues but never intact DNA So in a new approach hes taking living descendants of the dinosaur chickens and genetically engineering them to reactivate ancestral traits  including teeth tails and even hands  to make a Chickenosaurus,dinosaurs|genetics|paleontology|science,0:16:36
Jennifer Wilcox,855,A new way to remove CO2 from the atmosphere,3463211,Our planet has a carbon problem  if we dont start removing carbon dioxide from the atmosphere well grow hotter faster Chemical engineer Jennifer Wilcox previews some amazing technology to scrub carbon from the air using chemical reactions that capture and reuse CO2 in much the same way trees do  but at a vast scale This detailed talk reviews both the promise and the pitfalls,alternative energy|climate change|electricity|future|engineering|natural resources|sustainability|pollution|technology|science|environment|Anthropocene,0:14:15
Stella Young,556,Im not your inspiration thank you very much,3447892,Stella Young is a comedian and journalist who happens to go about her day in a wheelchair  a fact that doesnt shed like to make clear automatically turn her into a noble inspiration to all humanity In this very funny talk Young breaks down societys habit of turning disabled people into inspiration porn,|activism|disability|humor|motivation|comedy,0:09:16
Pico Iyer,841,Where is home,3446031,More and more people worldwide are living in countries not considered their own Writer Pico Iyer   who himself has three or four origins  meditates on the meaning of home the joy of traveling and the serenity of standing still,culture|happiness|travel|world cultures|writing,0:14:01
Katerina Kaouri,328,The sonic boom problem,3440781,Objects that fly faster than the speed of sound like really fast planes create a shock wave accompanied by a thunderlike noise the sonic boom These epic sounds can cause distress to people and animals and even damage nearby buildings Katerina Kaouri details how scientists use math to predict sonic booms paths in the atmosphere where they will land and how loud they will be Directed by Anton Bogaty narrated by Addison Anderson music by Michael Dow,design|engineering|technology|sound|travel|math|science|flight||animation,0:05:28
